지역,시설명,시설녹지여부,강수량,집수면적(제곱미터),건물 높이(층수),평균풍속(m/s),단위면적당 인구(명/1제곱미터),땅의 면적(제곱미터),빗물사용목표량(mm/1년),빗물 이용 예측량(mm/1년),빗물목표량대비사용량,빗물 이용시설 설치 적합여부[0/1],lat,lon
용산구,센트레빌 아스테리움 서울,0,1447.0,1672.0,35,1.9,0.01045588,6514.6,594.7917389,435.597977968,73.23537794482303,1,37.55066987,126.9735512
용산구,래미안 첼리투스,0,1447.0,661.7,56,1.9,0.01045588,23235.7,5360.534211,605.3779436998,11.29323906668749,1,37.51685756,126.9792635
은평구,구현초등학교,0,1561.0,5183.63,5,0.9,0.01615725,15990.0,727.6705015,149.46160262200002,20.53973636610306,1,37.60984493,126.9057795
은평구,은평구청별관,0,1561.0,245.52,8,0.9,0.01615725,410.5,394.4087912,429.66390336200004,108.93872371727196,1,37.60125528,126.9276849
은평구,신사두산위브,0,1561.0,2192.34,12,0.9,0.01615725,9897.6,1064.982058,510.54486082200003,47.939292215005565,1,37.60015684,126.9056787
은평구,응암초등학교,0,1561.0,4010.8,6,0.9,0.01615725,9883.1,581.2761233,149.46160262200002,25.712668494532675,1,37.58798466,126.9213621
은평구,은명초등학교,0,1561.0,4012.98,6,0.9,0.01615725,11974.6,703.9054382,149.46160262200002,21.233193339747096,1,37.59767873,126.918276
은평구,진관초등학교,0,1561.0,3442.72,6,0.9,0.01615725,11457.2,785.0495924,149.46160262200002,19.038491844200085,1,37.64543471,126.9292163
은평구,진관중학교,0,1561.0,3295.53,6,0.9,0.01615725,12091.3,865.5019044,149.46160262200002,17.26877801910935,1,37.64425619,126.9257284
은평구,은진초등학교,0,1561.0,3310.1,5,0.9,0.01615725,10705.3,762.9182934,149.46160262200002,19.590774518712045,1,37.63304413,126.9209959
은평구,신도초등학교,0,1561.0,2776.88,5,0.9,0.01615725,10049.0,853.6621664,149.46160262200002,17.508284717864242,1,37.63293763,126.9291986
은평구,수리초등학교,0,1561.0,1191.95,6,0.9,0.01615725,5120.0,1013.286423,68.0286690744,6.713666297135415,1,37.62030721,126.9341112
은평구,역촌 센트레빌 아파트,0,1561.0,3906.04,15,0.9,0.01615725,19691.8,1189.238692,510.54486082200003,42.93039439907494,1,37.60356271,126.9058
은평구,은평다목적체육관,0,1561.0,2508.2,4,0.9,0.01615725,9988.0,939.3699664,149.46160262200002,15.910834704966145,1,37.63044066,126.9235809
은평구,불광동 롯데캐슬아파트,0,1561.0,4236.33,18,0.9,0.01615725,20876.8,1162.503979,429.04569139579996,36.907029923877786,1,37.61338854,126.9342985
은평구,롯데몰,0,1561.0,19564.24,9,0.9,0.01615725,33023.5,398.1808955,149.46160262200002,37.536105903403396,1,37.63753669,126.9179001
종로구,대성스카이렉스,1,1651.1,48.0,15,2.4,0.00632748,10760.1,20708.97992,333.7615772594,1.6116756042486902,1,37.57231053,126.9825677
종로구,롯데캐슬로잔 아파트,0,1651.1,32.0,11,2.4,0.00632748,21414.4,61821.50439,241.72882168300004,0.39101090157570007,1,37.61030305,126.9780653
종로구,센터포인트 광화문,1,1651.1,75.5,20,2.4,0.00632748,39946.0,48877.61238,333.697290341,0.6827201127310876,1,37.57297638,126.9743511
종로구,그랑서울,0,1651.1,230.6,24,2.4,0.00632748,3115.0,1247.907471,288.40972597060005,23.11146720994349,1,37.57096166,126.9814378
종로구,성균관대학교,1,1651.1,32.0,5,2.4,0.00632748,631920.0,1824297.905,45.0748252154,0.002470803978443422,1,37.58550662,126.9959925
종로구,KT광화문빌딩East,0,1651.1,1712.0,25,2.4,0.00632748,4872.0,262.8979237,288.40972597060005,109.70407141735828,1,37.57199689,126.9788861
종로구,KT광화문빌딩West,0,1651.1,3337.0,15,2.4,0.00632748,8689.0,240.5454948,323.1617552306,134.34537840722845,1,37.57215069,126.9777917
중구,서울광장 ,1,1227.0,114.8,1,1.9,0.01266777,13207.0,21277.24112,135.7654861644,0.6380784303693599,0,37.56631915,126.9778302
중랑구,한일씨너스빌 리젠스 2단지,0,1651.1,2001.6,27,2.4,0.02146027,3869.0,605.6329215,288.40972597060005,47.62121009807095,1,37.59746276,127.0941586
중랑구,마젤란21 아파트 101동,0,1651.1,1940.232,18,2.4,0.02146027,8018.5,1294.873992,323.1617552306,24.957004096704416,1,37.58484902,127.0837215
중랑구,위더스빌 아파트,0,1651.1,1465.39,20,2.4,0.02146027,2445.6,522.9019238,241.72882168300004,46.22832900026903,1,37.6146718,127.0771228
중랑구,홈플러스 신내점,0,1651.1,3453.0,7,2.4,0.02146027,5993.1,543.8047334,323.1617552306,59.42606516315402,1,37.61581269,127.0937381
중랑구,묵동자이아파트1단지,0,1651.1,2453.1,35,2.4,0.02146027,4153.2,530.4636513,282.700508712,53.29309708953473,1,37.6148422,127.0778889
중랑구,묵동자이아파트2단지,0,1651.1,4209.7,35,2.4,0.02146027,7558.9,562.5945102,282.700508712,50.249425400809756,1,37.61383962,127.0775574
중랑구,상봉듀오트리스주상복합,0,1651.1,1027.0,41,2.4,0.02146027,7104.8,2167.55163,274.3333571558,12.656370134805048,1,37.59740636,127.0921782
중랑구,한일씨너스빌 리젠스 1단지,0,1651.1,985.0,28,2.4,0.02146027,3422.4,1088.635705,496.69368584800003,45.625334863327865,1,37.59723382,127.0933743
강남구,언북초등학교,0,1674.0,4297.0,5,1.3,0.01380175,17423.9,817.0846062,335.4433630124,41.053687765877775,1,37.52008996,127.0456803
강남구,현대백화점 무역센터점,0,1674.0,5160.4,12,1.3,0.01380175,10198.4,398.2315714,277.05826985240003,69.57215091671158,1,37.50861493,127.0597654
강남구,지어로빌딩,0,1674.0,251.29,14,1.3,0.01380175,423.1,339.2773218,277.05826985240003,81.66129948871816,1,37.50626203,127.0584611
강남구,리더스프라자,0,1674.0,1100.0,9,1.3,0.01380175,1952.0,357.5807578,277.05826985240003,77.48131402735116,1,37.46575726,127.1012263
강남구,강남 더샵라르고,0,1674.0,1752.9247,10,1.3,0.01380175,1500.3,172.4653527,277.05826985240003,160.64575609823342,1,37.47537753,127.104714
강남구,코엑스,0,1674.0,10000.0,54,1.3,0.01380175,148784.0,2998.080175,575.930539111,19.20997790230877,1,37.51182421,127.0591588
강남구,서울자곡초등학교,0,1674.0,2503.21,4,1.3,0.01380175,10057.2,809.5931294,241.0930390344,29.779531258260207,1,37.47219112,127.0996016
강남구,강남세무서,0,1674.0,1020.79,7,1.3,0.01380175,4701.6,928.1032278,315.7137320324,34.01709234227921,1,37.51871669,127.046959
강남구,대유타워,0,1674.0,420.4,13,1.3,0.01380175,703.7,337.2965165,277.05826985240003,82.14086309794428,1,37.50526718,127.0480416
강남구,알로프트서울호텔,0,1674.0,406.9,15,1.3,0.01380175,982.8,486.703501,277.05826985240003,56.9254729590285,1,37.52374146,127.0556601
강북구,미아동복합청사,0,1716.0,685.0,5,1.9,0.01330314,1987.8,563.6235514,392.9214955804,69.71346293184725,1,37.6270921,127.0269758
강북구,서울화계초등학교,0,1716.0,1140.8,4,1.9,0.01330314,11275.8,1919.750852,392.9214955804,20.467317161029186,1,37.62388527,127.0297164
